,STAT5A,STAT5B,STAT4,IRF1,STAT3,IRF2,STAT1,IRF8,STAT6,IRF4,IRF3,IRF5,STAT2,IRF7,IRF9,IRF6,unannotated_1
MAPK8,0.0047836066,0.0,0.0,0.0010139189,-0.0005116616,0.00028058045,0.00027254916,4.4299682e-05,0.0,-0.0007611813,0.0,0.0,-0.00052114244,0.0,-0.00034678428,0.0,-0.0011664514
MYB,0.0,0.0,0.0,-0.0021479325,8.2956525e-05,-9.55195e-05,2.311165e-06,-1.2400407e-05,3.883258e-05,0.0,5.915717e-06,0.0,-1.7844932e-06,-0.00013693569,2.8297377e-06,0.0,-0.00021048347
BIRC3,0.0,-1.0112288e-05,0.0,-0.0033013117,-0.04792153,-0.0006631723,-1.04907185e-05,0.0,0.0,0.0,0.0,-0.00014259422,0.0,0.0,0.0,-0.0005811987,-0.033522483
CD86,0.0,0.0,7.3510695e-05,-8.9786894e-08,0.0,0.0,-0.0042988746,0.0,0.023295335,0.0,1.6982793e-05,0.0005388798,-1.2666901e-05,-0.000489287,0.0,0.0,0.06555674
CDKN2D,0.0,2.972475e-05,0.0,0.0,-0.0018773995,-2.5077356e-06,0.0,0.0,0.0,0.0,7.59462e-05,0.0,0.0,1.833663e-06,0.00022753424,0.0,8.636459e-05
SOCS1,0.012512471,6.8058775e-06,0.0,0.006642825,-0.046000086,0.00018977937,-0.06729225,0.0,-0.027916854,-0.00027605688,-1.9567588e-06,-5.1372353e-06,-0.00043366957,-0.00021974707,0.0,-0.00040575565,-0.02234025
MMP9,0.0,8.000776e-07,0.0,-0.0002916595,0.010060732,0.0,0.011210466,-0.00032589494,-1.115968e-05,-1.1520141e-05,9.484654e-06,0.0,0.0,-2.8091006e-07,0.0,0.0,0.0055174762
CEBPD,4.0784573e-05,2.3000825e-05,9.858487e-08,0.0,0.0206171,0.0,-0.002537821,0.0007649523,0.0,0.000735999,0.0,-6.729907e-06,0.0,0.0,1.2806074e-06,0.0,0.018833032
SH2D1A,0.0,0.0006828582,0.0,-5.705211e-06,-0.007133423,-0.0001990706,4.7759784e-08,0.0,-4.9951817e-05,0.0,0.0,0.0,0.00018086532,0.0,-5.3988424e-06,0.0,-0.012611659
IL10,0.0030254987,0.0008550044,-0.0045077815,0.0015976548,0.004617734,-0.004665684,0.0049301544,-0.0017066099,0.006454262,-0.0020006835,-0.00010381839,0.008130554,0.0,0.0,3.5230858e-07,-3.0669248e-06,3.7326525e-05
