,STAT5A,STAT5B,STAT4,IRF1,STAT3,IRF2,STAT1,IRF8,STAT6,IRF4,IRF3,IRF5,STAT2,IRF7,IRF9,IRF6,unannotated_1
MMP9,0.0,1.6001552e-06,0.0,0.008654646,0.0060756505,0.0,0.005718035,0.00065178995,2.2319358e-05,2.3040282e-05,1.896931e-05,0.0,0.0,5.618202e-07,0.0,0.0,0.0023495478
CEBPD,8.156914e-05,4.6001653e-05,1.9716974e-07,0.0,0.004604704,0.0,0.007535088,0.0015299045,0.0,0.0014719983,0.0,1.3459815e-05,0.0,0.0,2.5612148e-06,0.0,0.0053745476
SH2D1A,0.0,0.0013657165,0.0,1.1410421e-05,0.0029319213,0.00039814116,9.551956e-08,0.0,9.9903635e-05,0.0,0.0,0.0,0.00036173064,0.0,1.0797686e-05,0.0,0.0021264644
IL10,0.005113525,0.007409254,0.004650607,0.0070568593,0.008801727,0.0044762488,0.007060358,0.004757899,0.006061497,0.005127338,0.00020763677,0.0039803083,0.0,0.0,7.046172e-07,6.13385e-06,0.0013935422
CDKN1B,0.0,0.0089732185,0.0008447739,0.0,0.002212796,0.0002159131,0.003280286,0.0,0.0030697617,0.0054691574,0.0,0.00079291884,0.0,0.00028297724,0.005151575,0.0,0.004529715
CCND2,0.007880884,0.0051397793,0.0,1.5327741e-05,0.005513011,0.0,4.393179e-05,0.0,0.0,0.0010348997,0.0,5.5956567e-05,0.0,6.4723674e-05,0.0038565346,0.0,0.0048171757
MSR1,0.0006284624,0.0,0.0,0.00030055226,0.0,0.0,0.006672415,0.0,0.00097511796,0.0,0.00011671298,7.6441916e-07,0.0040578414,0.0,4.6629684e-05,0.0,0.009180736
BCL2,0.0055374424,0.0044607935,0.0,0.0017726865,0.0038651358,6.584953e-05,0.0,0.006185179,2.6684838e-06,1.1302038e-07,0.00030745586,0.0,0.0,6.207399e-06,0.0010277228,0.007221786,0.003509485
LCK,0.0,2.3642756e-06,1.4955061e-06,0.006716417,0.0,0.0,0.0,0.0,2.3806012e-06,1.5008884e-06,0.0,0.0,1.6788667e-07,7.059388e-05,0.0,0.0004516138,0.0034063251
ACAT1,0.0,0.0014304328,0.0,0.0,0.00022352595,0.0,0.0041168113,0.0,1.1543226e-06,0.00017335478,0.0,0.0,8.758778e-05,0.0,4.364673e-08,0.0,0.004635092
ACP5,0.0,0.00019988169,0.0,0.0003724239,0.0,0.0,3.6214074e-06,0.0,2.6448555e-07,0.0013460112,0.0005541119,0.0,0.0,3.1866693e-05,0.0,0.0,0.005557838
TNFSF11,0.0076545873,4.1167994e-05,5.669536e-06,0.0,0.0046035703,0.00084819796,0.00592395,0.0037545487,0.0058358405,0.0042169886,0.0,0.0,0.0,0.0008355639,0.0,0.0,0.001643649
SHC1,0.004501088,0.0009059461,0.00021837713,0.0,0.0,9.0111115e-07,0.0,0.0,2.193334e-05,0.00095690397,6.0781977e-06,0.0,0.0,9.8726505e-06,0.00071177655,1.6982456e-05,0.0012138736
PPIG,0.0,0.0021985404,0.00030100983,9.9554e-05,0.0,0.0,0.0,0.0,0.0,7.2760065e-07,0.0,9.255097e-05,0.0,0.00054784183,4.838187e-05,3.7323785e-05,0.0064089326
CTNND1,0.0,0.0,0.0,0.0062968256,0.0,0.0,0.0,1.8433837e-05,0.00012030885,0.00023934146,0.0,0.0,0.0,0.0,0.0,0.0,0.0025811575
CBL,6.7694045e-06,0.0,0.0,9.666209e-06,0.0,2.6864394e-05,0.000441861,0.0002528837,0.0,0.00021431754,0.0,0.0,0.0032174827,1.770233e-05,0.0,0.0,0.0040410897
CISH,0.0034722155,0.0041476823,0.0,0.0,0.003249714,7.4464694e-08,9.769876e-07,2.092432e-05,0.0020449816,0.0010759954,0.004066291,8.7938155e-05,0.0,0.0,0.0,0.0,0.005875182
LYZ,0.0,4.3561702e-08,0.0,0.008586372,0.0,0.0,0.0,0.0008354879,0.0,8.300281e-05,0.00075996184,0.0011177475,0.0,0.0,0.0011807132,7.1091024e-05,0.040758014
JUN,0.0014535186,0.0020177765,1.4349019e-05,0.0039969594,0.0,2.756831e-05,0.0022014321,0.0,1.4203712e-05,0.0007724246,0.0,0.0012981846,0.0065228734,0.0,0.00086532364,0.0,0.007087472
IFI27,0.0,0.0,0.0,0.0,2.8849017e-05,0.022559023,0.020889862,0.00015027143,0.0,0.00064992654,0.0,2.9903149e-05,0.0014618239,1.7740258e-05,0.0,0.0,0.011476395
PIK3R1,0.007339148,0.00022557835,0.0092174765,6.757606e-07,0.003934698,0.0,0.002834776,3.725917e-07,0.0,0.0,9.768466e-07,0.0,0.0,0.0,0.0,0.0,0.0057690297
PTPN2,0.0019556112,0.0,4.840586e-05,3.2239595e-07,0.004712778,0.0,0.0,0.0,9.0830275e-05,0.0,0.0,0.001328074,0.0,0.0,0.0,0.0007411211,0.003931576
SPI1,0.0010314516,0.0,0.00021884408,0.0,0.012189367,0.0004444403,2.0609792e-05,0.016213419,0.0,0.0052660396,0.0,0.0,0.0,3.0613476e-06,4.7879234e-07,0.00084397395,0.008652653
HBG1,2.6818468e-06,0.0,0.0,3.400669e-05,0.0067003015,0.00018854356,2.504065e-07,5.0969393e-05,0.0011886104,0.0,0.00043222884,0.0012347625,2.5875337e-05,6.7808614e-05,0.0,0.0007369373,0.0057635233
