iteration	tf	gene	wei	cond
0	IRF7	CDKN2D	-0.0	control
0	IRF9	CDKN2D	-0.0	control
0	unannotated_1	CDKN2D	0.0045101703	control
0	STAT5A	CSF2	0.0055645015	control
0	STAT5B	CSF2	-0.000032576034	control
0	STAT4	CSF2	-0.00012802628	control
0	IRF1	CSF2	0.0	control
0	STAT3	CSF2	0.0	control
0	GTF2I	CSF2	0.0	control
0	STAT1	CSF2	-0.0	control
0	IRF8	CSF2	0.0	control
0	ELF1	CSF2	-0.004126504	control
0	IRF3	CSF2	-0.0	control
0	IRF5	CSF2	-0.0	control
0	STAT2	CSF2	0.0	control
0	IRF7	CSF2	0.0	control
0	IRF9	CSF2	-0.0	control
0	unannotated_1	CSF2	-0.007238723	control
0	STAT5A	SOCS1	-0.0034260012	control
0	STAT5B	SOCS1	0.0	control
0	STAT4	SOCS1	-0.0	control
0	IRF1	SOCS1	0.021395804	control
0	STAT3	SOCS1	-0.025225963	control
0	GTF2I	SOCS1	0.0	control
0	STAT1	SOCS1	-0.019528883	control
0	IRF8	SOCS1	-0.0	control
0	ELF1	SOCS1	0.0	control
0	IRF3	SOCS1	0.0	control
0	IRF5	SOCS1	-0.0	control
0	STAT2	SOCS1	0.0	control
0	IRF7	SOCS1	-0.0	control
0	IRF9	SOCS1	-0.0	control
0	unannotated_1	SOCS1	0.03294312	control
0	STAT5A	MMP9	0.0	control
0	STAT5B	MMP9	0.0	control
0	STAT4	MMP9	0.0	control
0	IRF1	MMP9	0.0024253642	control
0	STAT3	MMP9	0.010163946	control
0	GTF2I	MMP9	-0.0	control
0	STAT1	MMP9	0.0097540645	control
0	IRF8	MMP9	-0.0	control
0	ELF1	MMP9	0.0	control
0	IRF3	MMP9	-0.0	control
0	IRF5	MMP9	0.0	control
0	STAT2	MMP9	-0.0	control
0	IRF7	MMP9	0.0	control
0	IRF9	MMP9	0.0	control
0	unannotated_1	MMP9	-0.011764457	control
0	STAT5A	CEBPD	0.0	control
0	STAT5B	CEBPD	-0.0	control
0	STAT4	CEBPD	-0.0	control
0	IRF1	CEBPD	-0.0	control
0	STAT3	CEBPD	0.015521095	control
0	GTF2I	CEBPD	-0.0	control
0	STAT1	CEBPD	0.009861613	control
0	IRF8	CEBPD	-0.0	control
0	ELF1	CEBPD	0.0	control
0	IRF3	CEBPD	0.0	control
